html_path,html_title,md_match_count,best_score,match_type,best_md_path,best_md_title,all_matches
convergence-deep\cdt-05-the-24-anti-properties.html,The 24 Anti-Properties | Deep Theory · Theophysics,6,100,exact-title,O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\THE_24_ANTI_PROPERTIES.md,THE_24_ANTI_PROPERTIES,100:O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\THE_24_ANTI_PROPERTIES.md; 100:O:\_Theophysics_v3\04_THEOPYHISCS\RIght Wrong\The 24 Anti Properties.md; 100:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\RIght Wrong\The 24 Anti-Properties.md; 100:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\SECULAR\___THE CONVERGENCE TX 6.6\THE_24_ANTI_PROPERTIES.md; 100:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\SECULAR\RIght Wrong\The 24 Anti Properties.md; 100:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\SECULAR\RIght Wrong\The 24 Anti-Properties.md
convergence-deep\cdt-06-it-from-bit-from-logos.html,It from Bit from Logos | Deep Theory CDT-06 | Theophysics,8,100,exact-title,O:\_Theophysics_v3\04_THEOPYHISCS\[6.6] LOGOS_V3\05_PUBLICATIONS\Web_Ready\IT_FROM_BIT_FROM_LOGOS.md,IT_FROM_BIT_FROM_LOGOS,100:O:\_Theophysics_v3\04_THEOPYHISCS\[6.6] LOGOS_V3\05_PUBLICATIONS\Web_Ready\IT_FROM_BIT_FROM_LOGOS.md; 100:O:\_Theophysics_v3\06_NOTES\It_from_Bit_from_Logos.md; 80:O:\_Theophysics_v3\00_Canonical\_Documentation\PHYSICS_THEORIES_DOWNLOADED\markdown\It_from_Bit.md; 80:O:\_Theophysics_v3\00_Canonical\Glossary\_STRUCTURED_DRAFTS_GUI\core\It from Bit.md; 80:O:\_Theophysics_v3\00_Canonical\Glossary\It from Bit.md; 80:O:\_Theophysics_v3\00_Canonical\MASTER_EQUATION_10_LAWS\Law_07_Relativity_Relationship\It_from_Bit.md; 80:O:\_Theophysics_v3\00_Canonical\TH_Physics\General\It_from_Bit.md; 80:O:\_Theophysics_v3\00_Canonical\TH_Physics\Wheeler_Framework\It_from_Bit.md
convergence-deep\index.html,The Convergence: Deep Theory | Theophysics,0,,,,,
convergence-series\cns-01-the-playing-field.html,01 · The Playing Field — The Convergence Series,0,,,,,
convergence-series\cns-02-the-evidence.html,02 · The Evidence — The Convergence Series,2,80,contains-title,O:\_Theophysics_v3\ZZZ_DUPLICATES\David\00_PERSONAL_SYSTEM\Prompts\Prompt 1\promptsfiles\The evidence.md,The evidence,80:O:\_Theophysics_v3\ZZZ_DUPLICATES\David\00_PERSONAL_SYSTEM\Prompts\Prompt 1\promptsfiles\The evidence.md; 80:O:\_Theophysics_v3\ZZZ_DUPLICATES\Prompt 1\The evidence.md
convergence-series\cns-03-why-math-works.html,03 · Why Math Works — The Convergence Series,0,,,,,
convergence-series\cns-04-the-paradigm-graveyard.html,04 · The Paradigm Graveyard — The Convergence Series,0,,,,,
convergence-series\cns-05-the-judgment-layer.html,05 · The Judgment Layer — The Convergence Series,0,,,,,
convergence-series\cns-06-the-priority-of-goodness.html,06 · The Priority of Goodness — The Convergence Series,0,,,,,
convergence-series\cns-07-the-verdict.html,07 · The Verdict — The Convergence Series,0,,,,,
convergence-series\index.html,The Convergence Series | Theophysics,0,,,,,
equation\index-kimi.html,Master Equation — Theophysics,1475,100,exact-title,O:\_Theophysics_v3\00_Canonical\01_CORE\MASTER_EQUATION\03_FORMAL_MATH\_MASTER_EQUATION.md,_MASTER_EQUATION,100:O:\_Theophysics_v3\00_Canonical\01_CORE\MASTER_EQUATION\03_FORMAL_MATH\_MASTER_EQUATION.md; 100:O:\_Theophysics_v3\00_Canonical\01_CORE\MASTER_EQUATION\Master Eq\_new\10 Laws\Law 10 - Self_Organization_Trinity\Assets\Master Equation.md; 100:O:\_Theophysics_v3\00_Canonical\01_CORE\MASTER_EQUATION\Master Eq\_new\10 Laws\Law 7 - Quantum_Mechanics_Prophecy\Assets\Master Equation.md; 100:O:\_Theophysics_v3\00_Canonical\Glossary\_STRUCTURED_DRAFTS_GUI\core\Master Equation.md; 100:O:\_Theophysics_v3\00_Canonical\Glossary\Master Equation.md; 100:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A5.1] Cross-Domain Coherence Project\10_Trinity\10_Laws\Law_01_Gravity_Sin\Master Equation.md; 100:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A5.2] Foundations\Master-Equation.md; 100:O:\_Theophysics_v3\04_THEOPYHISCS\Foundations\Master-Equation.md; 100:O:\_Theophysics_v3\04_THEOPYHISCS\Master Eq\_new\10 Laws\Law 10 - Self_Organization_Trinity\Assets\Master Equation.md; 100:O:\_Theophysics_v3\04_THEOPYHISCS\Master Eq\_new\10 Laws\Law 7 - Quantum_Mechanics_Prophecy\Assets\Master Equation.md
equation\index.html,Master Equation Explorer — Theophysics,13,80,contains-title,O:\_Theophysics_v3\00_ARCHIVE\WRONG_LAW_ORDERING\__Master EQ.md,__Master EQ,80:O:\_Theophysics_v3\00_ARCHIVE\WRONG_LAW_ORDERING\__Master EQ.md; 80:O:\_Theophysics_v3\00_Canonical\01_CORE\MASTER_EQUATION\03_FORMAL_MATH\_MASTER_EQUATION.md; 80:O:\_Theophysics_v3\00_Canonical\01_CORE\MASTER_EQUATION\Master Eq\_new\10 Laws\Law 10 - Self_Organization_Trinity\Assets\Master Equation.md; 80:O:\_Theophysics_v3\00_Canonical\01_CORE\MASTER_EQUATION\Master Eq\_new\10 Laws\Law 7 - Quantum_Mechanics_Prophecy\Assets\Master Equation.md; 80:O:\_Theophysics_v3\00_Canonical\Glossary\_STRUCTURED_DRAFTS_GUI\core\Master Equation.md; 80:O:\_Theophysics_v3\00_Canonical\Glossary\Master Equation.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A5.1] Cross-Domain Coherence Project\10_Trinity\10_Laws\Law_01_Gravity_Sin\Master Equation.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A5.2] Foundations\Master-Equation.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\Foundations\Master-Equation.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\Master Eq\_new\10 Laws\Law 10 - Self_Organization_Trinity\Assets\Master Equation.md
equation\Master EQ vs1.html,The Master Equation — Physics and Faith as One Story,15,80,contains-title,O:\_Theophysics_v3\00_ARCHIVE\WRONG_LAW_ORDERING\__Master EQ.md,__Master EQ,80:O:\_Theophysics_v3\00_ARCHIVE\WRONG_LAW_ORDERING\__Master EQ.md; 80:O:\_Theophysics_v3\00_Canonical\01_CORE\MASTER_EQUATION\03_FORMAL_MATH\_MASTER_EQUATION.md; 80:O:\_Theophysics_v3\00_Canonical\01_CORE\MASTER_EQUATION\03_FORMAL_MATH\THE_MASTER_EQUATION.md; 80:O:\_Theophysics_v3\00_Canonical\01_CORE\MASTER_EQUATION\Master Eq\_new\10 Laws\Law 10 - Self_Organization_Trinity\Assets\Master Equation.md; 80:O:\_Theophysics_v3\00_Canonical\01_CORE\MASTER_EQUATION\Master Eq\_new\10 Laws\Law 7 - Quantum_Mechanics_Prophecy\Assets\Master Equation.md; 80:O:\_Theophysics_v3\00_Canonical\Glossary\_STRUCTURED_DRAFTS_GUI\core\Master Equation.md; 80:O:\_Theophysics_v3\00_Canonical\Glossary\Master Equation.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A5.1] Cross-Domain Coherence Project\10_Trinity\10_Laws\Law_01_Gravity_Sin\Master Equation.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A5.2] Foundations\Master-Equation.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\Foundations\Master-Equation.md
equation\master_story_index_backup.html,The Master Story — Theophysics Narrative Index,0,,,,,
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-01-measurement-collapsed-reality.html,GTQ-01 The Measurement That Collapsed Reality — Genesis to Quantum,19,80,contains-title,O:\_Theophysics_v3\00_SYSTEM\00_ENGINE\02_OPENAI\CALL\input\01_The Measurement That Collapsed Reality.md,01_The Measurement That Collapsed Reality,80:O:\_Theophysics_v3\00_SYSTEM\00_ENGINE\02_OPENAI\CALL\input\01_The Measurement That Collapsed Reality.md; 80:O:\_Theophysics_v3\00_SYSTEM\01_ENGINE\02_OPENAI\CALL\input\01_The Measurement That Collapsed Reality.md; 80:O:\_Theophysics_v3\00_SYSTEM\01_ENGINE\80_OPENAI\CALL\input\01_The Measurement That Collapsed Reality.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\GENESIS TO QUANTUM The Seven-Article Series\01_The Measurement That Collapsed Reality.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\GENESIS TO QUANTUM The Seven-Article Series\01_The Measurement That Collapsed Reality_media_block.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\GENESIS TO QUANTUM The Seven-Article Series\_STAGING\01_The Measurement That Collapsed Reality 1.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\GENESIS TO QUANTUM The Seven-Article Series\_STAGING\01_The Measurement That Collapsed Reality_TAGGED_gpt4o.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\GENESIS TO QUANTUM The Seven-Article Series\_STAGING\01_The Measurement That Collapsed Reality_TAGGED_o3mini.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\GENESIS TO QUANTUM The Seven-Article Series\_STAGING\01_The Measurement That Collapsed Reality_TSNS.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\The Convergence\GENESIS TO QUANTUM The Seven-Article Series\01_The Measurement That Collapsed Reality.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-01a-collapse-threshold.html,The Collapse Threshold | GTQ Tangent 01A,1,80,contains-title,O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_01A_Collapse_Threshold.md,GTQ_01A_Collapse_Threshold,80:O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_01A_Collapse_Threshold.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-02-the-first-quantum-state.html,Article 02: The First Quantum State — Genesis to Quantum,19,100,exact-title,O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_02_The_First_Quantum_State.md,GTQ_02_The_First_Quantum_State,100:O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_02_The_First_Quantum_State.md; 80:O:\_Theophysics_v3\00_Canonical\Glossary\_STRUCTURED_DRAFTS_GUI\core\Quantum State.md; 80:O:\_Theophysics_v3\00_Canonical\Glossary\Quantum State.md; 80:O:\_Theophysics_v3\00_SYSTEM\00_ENGINE\02_OPENAI\CALL\input\02_The_First_Quantum_State_CLEAN.md; 80:O:\_Theophysics_v3\00_SYSTEM\01_ENGINE\02_OPENAI\CALL\input\02_The_First_Quantum_State_CLEAN.md; 80:O:\_Theophysics_v3\00_SYSTEM\01_ENGINE\80_OPENAI\CALL\input\02_The_First_Quantum_State_CLEAN.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\GENESIS TO QUANTUM The Seven-Article Series\02_The First Quantum State.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\GENESIS TO QUANTUM The Seven-Article Series\02_The First Quantum State_published.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\GENESIS TO QUANTUM The Seven-Article Series\02_The First Quantum State_published_publish_gate.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\GENESIS TO QUANTUM The Seven-Article Series\_STAGING\02_The_First_Quantum_State_TAGGED_o3mini.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-03-free-will-two-frames.html,Article 03: Free Will in Two Frames — Genesis to Quantum,5,100,exact-title,O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_03_Free_Will_In_Two_Frames.md,GTQ_03_Free_Will_In_Two_Frames,100:O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_03_Free_Will_In_Two_Frames.md; 80:O:\_Theophysics_v3\00_Canonical\Glossary\_STRUCTURED_DRAFTS_GUI\core\Free-Will.md; 80:O:\_Theophysics_v3\00_Canonical\Glossary\Free-Will.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\GENESIS TO QUANTUM The Seven-Article Series\03_Free Will in Two Frames.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\The Convergence\GENESIS TO QUANTUM The Seven-Article Series\03_Free Will in Two Frames.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-03a-macarthur-and-the-equation.html,GTQ 03A: MacArthur and the Equation | Genesis to Quantum,2,80,contains-title,O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_03A_MacArthur_And_The_Equation.md,GTQ_03A_MacArthur_And_The_Equation,80:O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_03A_MacArthur_And_The_Equation.md; 80:O:\_Theophysics_v3\99_TAG_NOTES\08_CONCEPTS\Types\E_Equation.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-03b-the-three-pathways.html,The Three Pathways — Genesis to Quantum,3,100,exact-title,O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_03B_The_Three_Pathways.md,GTQ_03B_The_Three_Pathways,100:O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_03B_The_Three_Pathways.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\GENESIS TO QUANTUM The Seven-Article Series\Tagent\03-B_The Three Pathways.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\The Convergence\GENESIS TO QUANTUM The Seven-Article Series\Tagent\03-B_The Three Pathways.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-03c-why-god-drowned-everybody.html,Why God Drowned Everybody — Genesis to Quantum,1,100,exact-title,O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_03C_Why_God_Drowned_Everybody.md,GTQ_03C_Why_God_Drowned_Everybody,100:O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_03C_Why_God_Drowned_Everybody.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-04-the-day-time-began.html,Article 04: The Day Time Began — Genesis to Quantum,9,100,exact-title,O:\_Theophysics_v3\00_Publication\___TODAY\NOTEBOOK\the-day-time-began.md,the-day-time-began,100:O:\_Theophysics_v3\00_Publication\___TODAY\NOTEBOOK\the-day-time-began.md; 100:O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_04_The_Day_Time_Began.md; 100:O:\_Theophysics_v3\04_THEOPYHISCS\SECULAR\___THE CONVERGENCE TX 6.6\THE_DAY_TIME_BEGAN.md; 100:O:\_Theophysics_v3\ZZZ_DUPLICATES\00_Publication\___TODAY\The Day Time Began\DTB\the-day-time-began.md; 100:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\THE_DAY_TIME_BEGAN.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.6] THE CONVERGENCE\GENESIS TO QUANTUM The Seven-Article Series\04_The Day Time Began.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\_ARCHIVE\02_The Day Time Began_DUPE.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\The Convergence\GENESIS TO QUANTUM The Seven-Article Series\04_The Day Time Began.md; 80:O:\_Theophysics_v3\ZZZ_DUPLICATES\00_Publication\___TODAY\The Day Time Began\DTB\THE_DAY_TIME_BEGAN-ORIGINAL.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-04a-the-decoherence-curve.html,The Decoherence Curve - GTQ Tangent 04A,2,80,contains-title,O:\_Theophysics_v3\04_THEOPYHISCS\[6.6] LOGOS_V3\Logos Story\GTQ_04A_The_Decoherence_Curve.md,GTQ_04A_The_Decoherence_Curve,80:O:\_Theophysics_v3\04_THEOPYHISCS\[6.6] LOGOS_V3\Logos Story\GTQ_04A_The_Decoherence_Curve.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_04A_The_Decoherence_Curve.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-04b-how-lies-kill.html,How Lies Kill — Genesis to Quantum,1,100,exact-title,O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_04B_How_Lies_Kill.md,GTQ_04B_How_Lies_Kill,100:O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\GENESIS TO QUANTUM The Seven-Article Series\GTQ_04B_How_Lies_Kill.md
