eq_id,type,latex,latex_hash,source_file,context,easy,standard,academic,theology_side,shared_structure,conceptual_meaning,audio_safe,difficulty,law_reference,paper_ref,needs_review
EQ-040,inline_math,R = 0,09529c0f45931dde94c7758d78fa374c854bbc02fca39429dbe210b06186eb08,consciousness-chi-field-action,Flat spacetime \(R = 0\) \(\Box\chi + m^2\chi + \lambda\chi^3 = 0\),,,,,,,,,,,True
EQ-041,inline_math,\Box\chi + m^2\chi + \lambda\chi^3 = 0,1e9ad07180b268a98d9cff7dbeaaf43f60039bb733b2317cf26992e1049b879b,consciousness-chi-field-action,\(R = 0\) \(\Box\chi + m^2\chi + \lambda\chi^3 = 0\) Standard nonlinear Klein-Gordon,,,,,,,,,,,True
EQ-042,inline_math,\chi = \chi_0 + \delta\chi,bcaa17bc1e1125af3fcb50f391039d3365368dad3e35be92c4844b8dbde20993,consciousness-chi-field-action,Weak field \(\chi = \chi_0 + \delta\chi\) \(\Box\delta\chi + m_{\text{eff}}^2\delta\,,,,,,,,,,,True
EQ-043,inline_math,\Box\delta\chi + m_{\text{eff}}^2\delta\chi = 0,013bdffb276d862829b7b2ee8e62a05048f819283118ed8caa1a394bc2986944,consciousness-chi-field-action,\(\chi = \chi_0 + \delta\chi\) \(\Box\delta\chi + m_{\text{eff}}^2\delta\chi = 0\) Free massive perturbation,,,,,,,,,,,True
EQ-044,inline_math,R = 12H^2,9bed10b3100bd6b5403a1e99c4c51408b7e8e94b51732595a6ff129e3bf4715e,consciousness-chi-field-action,"De Sitter \(R = 12H^2\) Modified slow-roll <td class=""px",,,,,,,,,,,True
EQ-045,inline_math,R \gg m^2/(\xi\kappa_0),aa6d068030723eceb2a7cd46798ae53333168cf3f3b3a18e0b6e3ec5c2f37b75,consciousness-chi-field-action,Strong curvature \(R \gg m^2/(\xi\kappa_0)\) Curvature-dominated,,,,,,,,,,,True
EQ-046,inline_math,g^{\mu\nu},2612cda8de55c0127463b325a39a55fd424818ac2c7da85620fbfcdb60e7ade8,consciousness-chi-field-action,"2""> 4.2 Modified Einstein Equations (Variation w.r.t. \(g^{\mu\nu}\)) \(\delta",,,,,,,,,,,True
EQ-047,inline_math,\delta S / \delta g^{\mu\nu} = 0,1e1bd6a85e981a7dae332f16629dcd39a813daac258f5f5f8df1a457b6e9c284,consciousness-chi-field-action,w.r.t. \(g^{\mu\nu}\)) \(\delta S / \delta g^{\mu\nu} = 0\) gives:,,,,,,,,,,,True
EQ-048,inline_math,\partial_\mu\chi \to 0,3705f6f50bb71274c2857a58edf75249fa7624bfc24b22e38973d7b50b54cffd,consciousness-chi-field-action,\(\partial_\mu\chi \to 0\) &rarr; kinetic terms vanish \(T_{\mu\nu}^{(\chi)} \to -g_{\mu\nu}V(\chi_0)\) &rarr; acts as co,,,,,,,,,,,True
EQ-049,inline_math,T_{\mu\nu}^{(\chi)} \to -g_{\mu\nu}V(\chi_0),5fbd57dc47dfa73285d8b950152dbaa1c071b6efe9276f035c4f3ef43a56771d,consciousness-chi-field-action,"xt-lg text-gray-300 space-y-1 ml-4 mb-4""> \(\partial_\mu\chi \to 0\) &rarr; kinetic terms vanish \(T_{\mu\nu}^{(\chi)} \to -g_{\mu\nu}V(\chi_0)\) &rar",,,,,,,,,,,True
EQ-050,inline_math,\Box(\chi_0^2) = 0,07188f7c6a701c7c71aa86a27c68255255f8aa3ee5a6f68d917906addca228f8,consciousness-chi-field-action,"anish \(T_{\mu\nu}^{(\chi)} \to -g_{\mu\nu}V(\chi_0)\) &rarr; acts as cosmological constant \(\Box(\chi_0^2) = 0\), \(\nabla_\mu\nabla_\nu(\chi_0^2) =",,,,,,,,,,,True
EQ-051,inline_math,\nabla_\mu\nabla_\nu(\chi_0^2) = 0,9682b588656f02cf668c71248094e3d4aaad46f8ce1bd95e170c2a9efc75c24a,consciousness-chi-field-action,"\(T_{\mu\nu}^{(\chi)} \to -g_{\mu\nu}V(\chi_0)\) &rarr; acts as cosmological constant \(\Box(\chi_0^2) = 0\), \(\nabla_\mu\nabla_\nu(\chi_0^2) = 0\)",,,,,,,,,,,True
EQ-052,inline_math,G_{\text{eff}} = G_N / (1 + \xi\kappa_0\chi_0^2),716adeae137adf87b3431edbf0239b194e42cfb10a81717951bb84e50f6dc233,consciousness-chi-field-action,"Renormalized Newton's constant: \(G_{\text{eff}} = G_N / (1 + \xi\kappa_0\chi_0^2)\) <div class=""bg-white/[0.02] border border-t",,,,,,,,,,,True
EQ-053,inline_math,\Lambda_{\text{eff}} = \kappa_0 V(\chi_0),90de1db1a0b9ee869df928e71d9f6fad1009eaaa4f4d3520ea4eba9f9f54b63a,consciousness-chi-field-action,Effective cosmological constant: \(\Lambda_{\text{eff}} = \kappa_0 V(\chi_0)\),,,,,,,,,,,True
EQ-054,inline_math,\delta\chi \propto \exp(i(kx - \omega t)),adcd28bf3ae13a0dadd98792be45f03735529cc6b4dbdc14e0e7c8f455ba9f90,consciousness-chi-field-action,For plane wave solutions \(\delta\chi \propto \exp(i(kx - \omega t))\):,,,,,,,,,,,True
EQ-055,inline_math,v_g = \partial\omega/\partial k = kc^2/\omega \leq c,807029db96abbfb2d23b6ad19ff71b468ba143d87da251c4203e7190294e30fa,consciousness-chi-field-action,"Group velocity: \(v_g = \partial\omega/\partial k = kc^2/\omega \leq c\) <i class=""fas",,,,,,,,,,,True
EQ-056,inline_math,v_p = \omega/k \geq c,b375ecb319e355beb1e2cb860c24faf5092f73a2857a2f7931363ef53b4fc255,consciousness-chi-field-action,Phase velocity: \(v_p = \omega/k \geq c\) (standard for massive fields; no superluminal information transfer) <span cl,,,,,,,,,,,True
EQ-057,inline_math,m_{\text{eff}} \to 0,a767d8262fecdf799df985bc7d768a9896edaec5e91af865b88fb160377158d1,consciousness-chi-field-action,"Massless limit (\(m_{\text{eff}} \to 0\)): \(v_g = c\) exactly (Paper 5: ""soul field propagates at speed of light"") <p clas",,,,,,,,,,,True
EQ-058,inline_math,v_g = c,af1447dce01770c88a9bc4432364343e2d776d8a163afbfaec062a5e04f904f4,consciousness-chi-field-action,"ex gap-2"">Massless limit (\(m_{\text{eff}} \to 0\)): \(v_g = c\) exactly (Paper 5: ""soul field propagates at speed of light"") Causal",,,,,,,,,,,True
EQ-059,inline_math,"(-,+,+,+)",3591beea5bd8ee9d843dcfe0a717ffe26659f9b8f634dcb492c351a90b0e3251,consciousness-chi-field-action,"laxed text-gray-300 mb-3""> The kinetic term is \(-\tfrac{1}{2}g^{\mu\nu}\partial_\mu\chi\partial_\nu\chi\). With metric signature \((-,+,+,+)\), the t",,,,,,,,,,,True
EQ-060,inline_math,+\tfrac{1}{2}\dot\chi^2,3c114af74ae06fbe34fd0f56783d2c281d996b2c60b95f93eb2ccb01e6be0454,consciousness-chi-field-action,"The kinetic term is \(-\tfrac{1}{2}g^{\mu\nu}\partial_\mu\chi\partial_\nu\chi\). With metric signature \((-,+,+,+)\), the time-kinetic piece is \(+\tf",,,,,,,,,,,True
EQ-061,inline_math,1 + \xi\kappa_0\chi^2 < 0,a41a64377c3658f3ed0569a85e8643bd311c251fc946b787520cfb022862283a,consciousness-chi-field-action,"t-gray-300""> For the non-minimal coupling sector (Jordan frame): the effective graviton kinetic term develops wrong signs only if \(1 + \xi\kappa_0\ch",,,,,,,,,,,True
EQ-062,inline_math,\chi^2 > 1/(\xi\kappa_0),8f094c3176b0925217ea258282ec44181abde22d7e3ba003e5738d211dcb32f5,consciousness-chi-field-action,non-minimal coupling sector (Jordan frame): the effective graviton kinetic term develops wrong signs only if \(1 + \xi\kappa_0\chi^2 1/(\xi\kappa_0)\),,,,,,,,,,,True
EQ-063,inline_math,\xi \sim 1,7f50faa02dbcbf19b1e3737ea99e4847f80c54f60298aaea19454dcd971dda6c,consciousness-chi-field-action,n frame): the effective graviton kinetic term develops wrong signs only if \(1 + \xi\kappa_0\chi^2 1/(\xi\kappa_0)\). For \(\xi \sim 1\) and \(\kappa_,,,,,,,,,,,True
EQ-064,inline_math,\kappa_0 \sim 10^{-69},a0085136b126dbca8836d4a3be5bfdbd9cebb91f0e26342e3178c42118f9bde0,consciousness-chi-field-action,tive graviton kinetic term develops wrong signs only if \(1 + \xi\kappa_0\chi^2 1/(\xi\kappa_0)\). For \(\xi \sim 1\) and \(\kappa_0 \sim 10^{-69}\) J,,,,,,,,,,,True
EQ-065,inline_math,\chi < 10^{34.5},cd7d677ead35d80ff2455f3d14a35f38f9accf6cd41d2003e2146ce0c13561f4,consciousness-chi-field-action,"ppa_0\chi^2 1/(\xi\kappa_0)\). For \(\xi \sim 1\) and \(\kappa_0 \sim 10^{-69}\) J-1m-2, this gives \(\chi Ghost-freedom guaranteed in the phy",,,,,,,,,,,True
EQ-066,inline_math,m^2 > 0,a1e5ee5e222b72c8d77da8100f374a9d7933320580473b4cb79e7dcc5b343890,consciousness-chi-field-action,"xt-gray-300 ml-2 mb-3""> If \(m^2 > 0\): \(m_{\text{eff}}^2 = m^2 + 3\lambda\chi_0^2 > 0\). Stable oscillations. <span class=""text",,,,,,,,,,,True
EQ-067,inline_math,m_{\text{eff}}^2 = m^2 + 3\lambda\chi_0^2 > 0,1895f0dc2e0db8ae2815938c003d3da2b6b1752d3aa3a1f9795bdd04b07e5dbd,consciousness-chi-field-action,"l-2 mb-3""> If \(m^2 > 0\): \(m_{\text{eff}}^2 = m^2 + 3\lambda\chi_0^2 > 0\). Stable oscillations. <span class=""text-teal-accent""",,,,,,,,,,,True
EQ-068,inline_math,\chi_0 = \sqrt{-m^2/\lambda},20d6294876ff58bb76a05cc206f3a1a13497e60491e161307eb7fc651a870ebc,consciousness-chi-field-action,If \(m^2 0\). Still stable around the true minimum.,,,,,,,,,,,True
EQ-069,inline_math,m_{\text{eff}}^2 = -2m^2 > 0,0d3751aebf41f16023c3e9fa6f911263d8e6552a092b3b2459496c5bf89b0185,consciousness-chi-field-action,"p-2"">If \(m^2 0\). Still stable around the true minimum. The",,,,,,,,,,,True
EQ-070,inline_math,"x^A = (ct, x, y, z, \mathfrak{s})",c049afcf9bda3fbe5b152cf355c144db0d7239909a47370fbb911ff604537914,consciousness-chi-field-action,-spacetime ontology pertains to the UV completion &mdash; analogous to how GR is effective without knowing quantum gravity. The 5D manifold framework,,,,,,,,,,,True
EQ-071,inline_math,\mathfrak{s},48b83c404d0bff70d7fbf28bd5201c730c82929d8bc5ed62ef5b5f0a8f44bf7b,consciousness-chi-field-action,"analogous to how GR is effective without knowing quantum gravity. The 5D manifold framework \(x^A = (ct, x, y, z, \mathfrak{s})\) addresses this: the",,,,,,,,,,,True
EQ-072,inline_math,v \leq c,aa4c65577839501159ad4169e5f7c83d17a541c6c946ed7bfa1840e88ebedbcc,consciousness-chi-field-action,"Within the effective description: causal propagation (\(v \leq c\)), spin-statistics (spin-0, bosonic), standard energy conditions. The emergence ques",,,,,,,,,,,True
EQ-073,inline_math,\alpha = 2\xi^2\kappa_0,6d5afd7c1ae8bba1852b475fa2c7ab79a670f2f0cff1be4bcb7b661c29d45456,consciousness-chi-field-action,"where \(\alpha = 2\xi^2\kappa_0\) and \(\lambda_\chi = \hbar/(m_\chi c) \sim c/H_0 \sim 10^{26}\) m. <p class=""font-cri",,,,,,,,,,,True
EQ-074,inline_math,r \sim 1,317124ac4bd16b0e6e23baa88816cec212190160c30f88c9c1e2511265e87daa,consciousness-chi-field-action,"6}\) m. At laboratory scales (\(r \sim 1\) m): \(e^{-r/\lambda_\chi} \approx 1\), but \(\alpha = 2\xi^2\kappa_0 \lesssim 10^{-59}\) for \(\xi \lesssim",,,,,,,,,,,True
EQ-075,inline_math,e^{-r/\lambda_\chi} \approx 1,33aa18cbbe41d2f69bfb6af901989109e9576fa68be30994fcd8382f149c7de3,consciousness-chi-field-action,"At laboratory scales (\(r \sim 1\) m): \(e^{-r/\lambda_\chi} \approx 1\), but \(\alpha = 2\xi^2\kappa_0 \lesssim 10^{-59}\) for \(\xi \lesssim 10^5\).",,,,,,,,,,,True
EQ-076,inline_math,\alpha = 2\xi^2\kappa_0 \lesssim 10^{-59},21490f8f42a98bc50d36341ef3c09a82463ee8eabfa6af80a8b50b53c586ae2d,consciousness-chi-field-action,"ont-crimson text-lg leading-relaxed text-gray-300""> At laboratory scales (\(r \sim 1\) m): \(e^{-r/\lambda_\chi} \approx 1\), but \(\alpha = 2\xi^2\ka",,,,,,,,,,,True
EQ-077,inline_math,\xi \lesssim 10^5,f3ad49f7bc33cba6ee5cbfcbcff90574682632f0380131f18f57117362d66911,consciousness-chi-field-action,"> At laboratory scales (\(r \sim 1\) m): \(e^{-r/\lambda_\chi} \approx 1\), but \(\alpha = 2\xi^2\kappa_0 \lesssim 10^{-59}\) for \(\xi \lesssim 10^5\",,,,,,,,,,,True
EQ-078,inline_math,\alpha \lesssim 10^{-2},3ca7ee2ed3b079bcb28b4aaa52136664ef757b8cb75dcce378840907acc0aca5,consciousness-chi-field-action,"im 1\) m): \(e^{-r/\lambda_\chi} \approx 1\), but \(\alpha = 2\xi^2\kappa_0 \lesssim 10^{-59}\) for \(\xi \lesssim 10^5\). E&ouml;t-Wash sensitivity:",,,,,,,,,,,True
EQ-079,inline_math,|\gamma_{\text{PPN}} - 1| < 2.3 \times 10^{-5},e130a63f075ce5ade07e6acb111d4e6c0c2856e81a36f4797cbbad734b06af12,consciousness-chi-field-action,"Shapiro time delay constrains PPN parameter: \(|\gamma_{\text{PPN}} - 1| <p class=""font-crimson text-lg leading-relaxed text-gray-300",,,,,,,,,,,True
EQ-080,inline_math,f(\chi) = 1 + \xi\kappa_0\chi^2,d7d3964adf79d0e7963c7ced39dd5f4c3721736ddf93c09997977df9dcc09f83,consciousness-chi-field-action,For Brans-Dicke-type with \(f(\chi) = 1 + \xi\kappa_0\chi^2\):,,,,,,,,,,,True
EQ-081,inline_math,\xi\kappa_0\chi_0^2 \ll 1,5176549b21916c0b67a87748eadcd1770592dae3435f7ed66396584b50b6707d,consciousness-chi-field-action,"For \(\xi\kappa_0\chi_0^2 \ll 1\) (holds given \(\kappa_0 \sim 10^{-69}\)): \(|\gamma - 1| \sim 2\xi^2\kappa_0\chi_0^2\). <strong class=""text-teal-acc",,,,,,,,,,,True
EQ-082,inline_math,|\gamma - 1| \sim 2\xi^2\kappa_0\chi_0^2,6e4bf6958d520a0d8d836aedee9a43df568269b5e191c15b4d0769c46daa77bc,consciousness-chi-field-action,"""font-crimson text-lg leading-relaxed text-gray-300""> For \(\xi\kappa_0\chi_0^2 \ll 1\) (holds given \(\kappa_0 \sim 10^{-69}\)): \(|\gamma - 1| \sim",,,,,,,,,,,True
EQ-083,inline_math,|c_{\text{GW}}/c - 1| < 10^{-15},833158f5ed56670a72a7d1e5bce789841e027e163c4890e37b19bf2533532902,consciousness-chi-field-action,GW170817 + GRB170817A: \(|c_{\text{GW}}/c - 1|,,,,,,,,,,,True
EQ-084,inline_math,Z(\chi) = 1,bbf3550bcf9ac6e0bdbcae9f7546dd03c3ded4db6ad68ef0b8546ac500cf2e06,consciousness-chi-field-action,". For the minimal action with \(Z(\chi) = 1\) and standard kinetic term, gravitational wave propagation speed is exactly \(c\) to leading order. Non-m",,,,,,,,,,,True
EQ-085,inline_math,m \sim H_0,b8fd113972f19bd3abf6f73b1c342f9ae5e7e55f690b1fdf8ed71d962e59db76,consciousness-chi-field-action,"Constraints &chi; with \(m \sim H_0\) acts as quintessence. Current data (Planck + DESI DR2 + DES5Y): <div class=""desi-table rounded-xl",,,,,,,,,,,True
EQ-086,inline_math,-0.7,c18852d643e684c3a065f8479bdeef8576925fc67efb0cd70dd91156c9dea6dd,consciousness-chi-field-action,"px-5 py-4 text-center text-gray-400 font-mono"">\(-1\) \(-0.7\) to \(-0.9\) \(\approx -0.7\) <i class=""",,,,,,,,,,,True
EQ-087,inline_math,-0.9,adad4f53cfeca7a03e20467f4311ab1d957b94e30c738047a43870b661314968,consciousness-chi-field-action,"xt-center text-gray-400 font-mono"">\(-1\) \(-0.7\) to \(-0.9\) \(\approx -0.7\) <i class=""fas fa-check",,,,,,,,,,,True
EQ-088,inline_math,\approx -0.7,7e4d4238b82d2812feaac34aea3fb03b7c0dbf95493bc8803874115ef91a471b,consciousness-chi-field-action,"text-teal-glow font-mono"">\(-0.7\) to \(-0.9\) \(\approx -0.7\) <tr class=""border-t border-white",,,,,,,,,,,True
EQ-089,inline_math,-0.5,1b07b0cffa0b3f596b5e048b0115168886cc5183dd518655b5515ee5dddac6d1,consciousness-chi-field-action,"""px-5 py-4 text-center text-gray-400 font-mono"">\(0\) \(-0.5\) to \(-1.2\) \(\approx -1\) <i class=""fa",,,,,,,,,,,True
EQ-090,inline_math,-1.2,6c435e9072adbf41dc649d3df8334e0e952d38b44ef12f1043f8e81c2efbd743,consciousness-chi-field-action,"ext-center text-gray-400 font-mono"">\(0\) \(-0.5\) to \(-1.2\) \(\approx -1\) <i class=""fas fa-check m",,,,,,,,,,,True
EQ-091,inline_math,\approx -1,81e37ca46716067f2dab779bb9c13689bc529a963958a53a60a6d247754b8b06,consciousness-chi-field-action,"text-teal-glow font-mono"">\(-0.5\) to \(-1.2\) \(\approx -1\) <tr class=""border-t border-white/5",,,,,,,,,,,True
EQ-092,inline_math,\rho_{\text{vac}} \sim 10^{71},00a370ba571c43e622f301f97765fe690a2195f992f662e4231e59fefbf0d62e,consciousness-chi-field-action,Problem QFT predicts \(\rho_{\text{vac}} \sim 10^{71}\) GeV4. Observed: \(\rho_{\text{DE}} \sim 10^{-47}\) GeV4. Discrepancy: 118 orders of magnitude,,,,,,,,,,,True
